,Mean
AK-PercentActive.csv,0.06174176570651312
AL-PercentActive.csv,0.0578602457325433
AR-PercentActive.csv,0.06329557623516206
AZ-PercentActive.csv,0.03649638144809909
CA-PercentActive.csv,0.015653440713886912
CO-PercentActive.csv,0.1036290457780839
CT-PercentActive.csv,0.03370491678190258
DC-PercentActive.csv,0.01321173830501028
DE-PercentActive.csv,0.034734151353667336
FL-PercentActive.csv,0.0359999321687565
GA-PercentActive.csv,0.02007858060016817
HI-PercentActive.csv,0.022840007908437883
IA-PercentActive.csv,0.21165093773062352
ID-PercentActive.csv,0.13040679924568044
IL-PercentActive.csv,0.10591703392603016
IN-PercentActive.csv,0.12631734811013914
KS-PercentActive.csv,0.15442564197716
KY-PercentActive.csv,0.05269900066360099
LA-PercentActive.csv,0.02712737793421115
MA-PercentActive.csv,0.035371954259060964
MD-PercentActive.csv,0.029485063939089607
ME-PercentActive.csv,0.008370523681565163
MI-PercentActive.csv,0.06760814726256105
MN-PercentActive.csv,0.1458131922013324
MO-PercentActive.csv,0.11617697920615895
MS-PercentActive.csv,0.050579025578799716
MT-PercentActive.csv,0.13987841621395114
NC-PercentActive.csv,0.027118931196165208
ND-PercentActive.csv,0.4376325667778582
NE-PercentActive.csv,0.18634634388929255
NH-PercentActive.csv,0.020260217028049882
NJ-PercentActive.csv,0.03154251037012685
NM-PercentActive.csv,0.06958692815230806
NV-PercentActive.csv,0.07427881861078688
NY-PercentActive.csv,0.014509810706413656
OH-PercentActive.csv,0.05691080526595306
OK-PercentActive.csv,0.07314766348391583
OR-PercentActive.csv,0.024194395255944044
PA-PercentActive.csv,0.04551804380546305
RI-PercentActive.csv,0.1001397779572178
SC-PercentActive.csv,0.026507908589285843
SD-PercentActive.csv,0.3434770696848929
TN-PercentActive.csv,0.0656005215918351
TX-PercentActive.csv,0.03541693431005661
USA-PercentActive.csv,0.046811522967138516
UT-PercentActive.csv,0.13885597372136202
VA-PercentActive.csv,0.019707101422559624
VT-PercentActive.csv,0.008277109861171519
WA-PercentActive.csv,0.019195685706533187
WI-PercentActive.csv,0.20765149344178446
WV-PercentActive.csv,0.03601666693175759
WY-PercentActive.csv,0.2305692358675932
